# Nmap 7.70 scan initiated Fri Aug 16 16:41:42 2019 as: nmap -sP -vv -o seg.log 4.4.*.100-101
Nmap scan report for 4.4.127.101 [host down, received no-response]
Nmap scan report for 4.4.128.100 [host down, received no-response]
Nmap scan report for 4.4.128.101 [host down, received no-response]
Nmap scan report for 4.4.129.100 [host down, received no-response]
Nmap scan report for 4.4.129.101 [host down, received no-response]
Nmap scan report for 4.4.130.100 [host down, received no-response]
Nmap scan report for 4.4.130.101 [host down, received no-response]
Nmap scan report for 4.4.131.100 [host down, received no-response]
Nmap scan report for 4.4.131.101 [host down, received no-response]
Nmap scan report for 4.4.132.100 [host down, received no-response]
Nmap scan report for 4.4.132.101 [host down, received no-response]
Nmap scan report for 4.4.133.100 [host down, received no-response]
Nmap scan report for 4.4.133.101 [host down, received no-response]
Nmap scan report for 4.4.134.100 [host down, received no-response]
Nmap scan report for 4.4.134.101 [host down, received no-response]
Nmap scan report for 4.4.135.100 [host down, received no-response]
Nmap scan report for 4.4.135.101 [host down, received no-response]
Nmap scan report for 4.4.136.100 [host down, received no-response]
Nmap scan report for 4.4.136.101 [host down, received no-response]
Nmap scan report for 4.4.137.100 [host down, received no-response]
Nmap scan report for 4.4.137.101 [host down, received no-response]
Nmap scan report for 4.4.138.100 [host down, received no-response]
Nmap scan report for 4.4.138.101 [host down, received no-response]
Nmap scan report for 4.4.139.100 [host down, received no-response]
Nmap scan report for 4.4.139.101 [host down, received no-response]
Nmap scan report for 4.4.140.100 [host down, received no-response]
Nmap scan report for 4.4.140.101 [host down, received no-response]
Nmap scan report for 4.4.141.100 [host down, received no-response]
Nmap scan report for 4.4.141.101 [host down, received no-response]
Nmap scan report for 4.4.142.100 [host down, received no-response]
Nmap scan report for 4.4.142.101 [host down, received no-response]
Nmap scan report for 4.4.143.100 [host down, received no-response]
Nmap scan report for 4.4.143.101 [host down, received no-response]
Nmap scan report for 4.4.144.100 [host down, received no-response]
Nmap scan report for 4.4.144.101 [host down, received no-response]
Nmap scan report for 4.4.145.100 [host down, received no-response]
Nmap scan report for 4.4.145.101 [host down, received no-response]
Nmap scan report for 4.4.146.100 [host down, received no-response]
Nmap scan report for 4.4.146.101 [host down, received no-response]
Nmap scan report for 4.4.147.100 [host down, received no-response]
Nmap scan report for 4.4.147.101 [host down, received no-response]
Nmap scan report for 4.4.148.100 [host down, received no-response]
Nmap scan report for 4.4.148.101 [host down, received no-response]
Nmap scan report for 4.4.149.100 [host down, received no-response]
Nmap scan report for 4.4.149.101 [host down, received no-response]
Nmap scan report for 4.4.150.100 [host down, received no-response]
Nmap scan report for 4.4.150.101 [host down, received no-response]
Nmap scan report for 4.4.151.100 [host down, received no-response]
Nmap scan report for 4.4.151.101 [host down, received no-response]
Nmap scan report for 4.4.152.100 [host down, received no-response]
Nmap scan report for 4.4.152.101 [host down, received no-response]
Nmap scan report for 4.4.153.100 [host down, received no-response]
Nmap scan report for 4.4.153.101 [host down, received no-response]
Nmap scan report for 4.4.154.100 [host down, received no-response]
Nmap scan report for 4.4.154.101 [host down, received no-response]
Nmap scan report for 4.4.155.100 [host down, received no-response]
Nmap scan report for 4.4.155.101 [host down, received no-response]
Nmap scan report for 4.4.156.100 [host down, received no-response]
Nmap scan report for 4.4.156.101 [host down, received no-response]
Nmap scan report for 4.4.157.100 [host down, received no-response]
Nmap scan report for 4.4.157.101 [host down, received no-response]
Nmap scan report for 4.4.158.100 [host down, received no-response]
Nmap scan report for 4.4.158.101 [host down, received no-response]
Nmap scan report for 4.4.159.100 [host down, received no-response]
Nmap scan report for 4.4.159.101 [host down, received no-response]
Nmap scan report for 4.4.160.100 [host down, received no-response]
Nmap scan report for 4.4.160.101 [host down, received no-response]
Nmap scan report for 4.4.161.100 [host down, received no-response]
Nmap scan report for 4.4.161.101 [host down, received no-response]
Nmap scan report for 4.4.162.100 [host down, received no-response]
Nmap scan report for 4.4.162.101 [host down, received no-response]
Nmap scan report for 4.4.163.100 [host down, received no-response]
Nmap scan report for 4.4.163.101 [host down, received no-response]
Nmap scan report for 4.4.164.100 [host down, received no-response]
Nmap scan report for 4.4.164.101 [host down, received no-response]
Nmap scan report for 4.4.165.100 [host down, received no-response]
Nmap scan report for 4.4.165.101 [host down, received no-response]
Nmap scan report for 4.4.166.100 [host down, received no-response]
Nmap scan report for 4.4.166.101 [host down, received no-response]
Nmap scan report for 4.4.167.100 [host down, received no-response]
Nmap scan report for 4.4.167.101 [host down, received no-response]
Nmap scan report for 4.4.168.100 [host down, received no-response]
Nmap scan report for 4.4.168.101 [host down, received no-response]
